a,b,c,t
0.317,0.115,0.409,3.516
0.760,0.484,0.426,1.020
0.425,0.345,0.972,0.858
0.325,0.240,0.190,5.831
0.838,0.668,0.985,0.256
0.728,0.339,0.840,0.723
0.572,0.447,0.101,5.864
0.683,0.374,0.235,2.522
0.114,0.800,0.482,2.158
0.562,0.113,0.178,6.726
0.775,0.890,0.747,0.216
0.835,0.019,0.595,3.024
0.275,0.736,0.764,0.908
0.120,0.143,0.687,2.570
0.422,0.071,0.040,38.086
0.717,0.783,0.390,0.643
0.991,0.698,0.215,0.745
0.581,0.937,0.191,1.383
0.024,0.335,0.117,17.904
0.383,0.820,0.785,0.641
0.946,0.827,0.362,0.294
0.604,0.019,0.840,2.310
0.532,0.191,0.048,20.689
0.897,0.104,0.658,1.566
0.149,0.619,0.860,1.204
0.449,0.025,0.533,3.658
0.611,0.217,0.587,1.495
0.187,0.032,0.243,9.148
0.006,0.686,0.786,3.035
0.547,0.818,0.792,0.441
0.949,0.872,0.690,0.119
0.332,0.866,0.660,0.820
0.397,0.959,0.948,0.442
0.611,0.676,0.602,0.638
0.041,0.396,0.673,2.659
0.101,0.923,0.078,13.211
0.490,0.141,0.795,1.460
0.085,0.543,0.825,1.619
0.530,0.635,0.264,1.791
0.911,0.257,0.650,0.970
0.549,0.099,0.248,5.100
0.591,0.452,0.227,2.525
0.826,0.686,0.229,1.077
0.520,0.382,0.479,1.465
0.224,0.470,0.881,1.110
0.016,0.735,0.231,8.353
0.871,0.406,0.108,4.180
0.056,0.729,0.531,2.616
0.653,0.800,0.754,0.374
0.286,0.597,0.647,1.186
0.034,0.601,0.723,2.337
0.930,0.800,0.544,0.236
0.052,0.079,0.439,5.436
0.961,0.028,0.268,5.859
0.745,0.289,0.764,0.873
0.778,0.004,0.798,3.142
0.920,0.445,0.167,2.322
0.058,0.384,0.184,8.980
0.761,0.913,0.039,4.055
0.946,0.942,0.207,0.242
0.031,0.869,0.020,78.481
0.984,0.625,0.304,0.694
0.018,0.210,0.376,6.443
0.173,0.892,0.158,5.137
0.665,0.985,0.157,1.170
0.392,0.780,0.836,0.616
0.733,0.342,0.950,0.632
0.808,0.795,0.355,0.541
0.952,0.349,0.662,0.723
0.837,0.326,0.593,0.951
0.036,0.268,0.266,7.577
0.942,0.254,0.012,51.760
0.480,0.672,0.781,0.629
0.258,0.698,0.857,0.869
0.693,0.566,0.066,6.158
0.551,0.192,0.135,7.226
0.911,0.885,0.681,0.137
0.082,0.683,0.575,2.177
0.102,0.351,0.252,5.738
0.561,0.545,0.359,1.434
0.649,0.791,0.467,0.620
0.349,0.777,0.121,4.684
0.177,0.995,0.673,1.121
0.985,0.770,0.983,0.122
0.987,0.081,0.352,3.117
0.912,0.419,0.702,0.595
0.065,0.641,0.652,2.117
0.321,0.958,0.373,1.373
0.575,0.385,0.799,0.820
0.908,0.043,0.111,12.689
0.211,0.789,0.030,25.955
0.701,0.909,0.463,0.423
0.677,0.861,0.743,0.315
0.991,0.197,0.221,3.210
0.831,0.410,0.977,0.479
0.064,0.522,0.860,1.716
0.723,0.740,0.329,0.826
0.403,0.541,0.503,1.315
0.706,0.076,0.108,11.763
0.840,0.234,0.417,1.694
0.349,0.626,0.739,0.894
0.216,0.843,0.738,1.002
0.517,0.796,0.294,1.312
0.900,0.378,0.184,2.545
0.239,0.670,0.783,1.016
0.229,0.686,0.079,10.175
0.548,0.065,0.271,5.344
0.166,0.395,0.911,1.299
0.076,0.001,0.954,4.318
0.564,0.365,0.546,1.257
0.947,0.349,0.247,1.947
0.433,0.913,0.113,3.567
0.083,0.970,0.698,1.568
0.474,0.642,0.442,1.169
0.544,0.879,0.984,0.326
0.894,0.960,0.099,0.671
0.771,0.340,0.290,2.005
0.786,0.446,0.243,1.873
0.098,0.815,0.405,2.710
0.165,0.669,0.451,2.122
0.828,0.983,0.862,0.104
0.051,0.560,0.067,23.048
0.631,0.597,0.704,0.602
0.434,0.765,0.357,1.341
0.283,0.131,0.648,2.208
0.559,0.768,0.796,0.461
