a,b,c,t
0.753,0.410,0.124,2.117
0.598,0.076,0.590,0.973
0.565,0.159,0.846,0.945
0.750,0.823,0.770,1.766
0.201,0.468,0.255,4.698
0.646,0.810,0.624,2.212
0.878,0.422,0.019,2.044
0.454,0.523,0.106,3.991
0.957,0.760,0.062,2.229
0.742,0.497,0.309,1.945
0.744,0.783,0.557,2.012
0.324,0.341,0.154,3.728
0.251,0.137,0.302,2.335
0.851,0.832,0.485,1.896
0.186,0.248,0.168,4.392
0.023,0.217,0.543,2.617
0.933,0.576,0.555,1.384
0.307,0.463,0.684,2.130
0.076,0.937,0.483,6.694
0.500,0.859,0.525,3.050
0.039,0.874,0.618,5.342
0.659,0.636,0.041,3.430
0.068,0.221,0.961,1.449
0.542,0.486,0.723,1.666
0.742,0.101,0.433,1.026
0.934,0.687,0.117,2.107
0.710,0.724,0.306,2.503
0.317,0.309,0.755,1.587
0.841,0.420,0.479,1.398
0.769,0.163,0.795,0.853
0.527,0.264,0.518,1.506
0.891,0.957,0.908,1.450
0.736,0.796,0.512,2.127
0.437,0.489,0.652,1.974
0.971,0.543,0.663,1.212
0.128,0.166,0.341,2.898
0.027,0.259,0.509,2.957
0.915,0.897,0.047,2.591
0.285,0.308,0.170,3.738
0.367,0.864,0.782,2.864
0.178,0.560,0.800,2.473
0.676,0.345,0.010,2.532
0.647,0.697,0.921,1.627
0.704,0.362,0.054,2.333
0.631,0.550,0.620,1.776
0.976,0.495,0.515,1.278
0.379,0.052,0.854,0.897
0.142,0.003,0.099,4.174
0.005,0.754,0.634,4.815
0.167,0.084,0.806,1.207
0.797,0.274,0.023,1.906
0.806,0.966,0.384,2.366
0.911,0.843,0.671,1.543
0.481,0.821,0.227,4.296
0.783,0.815,0.662,1.812
0.006,0.059,0.298,3.689
0.930,0.580,0.506,1.440
0.919,0.651,0.830,1.248
0.269,0.597,0.220,5.132
0.966,0.258,0.385,1.115
0.225,0.012,0.556,1.311
0.947,0.430,0.935,0.966
0.051,0.691,0.155,13.871
0.770,0.664,0.207,2.415
0.283,0.461,0.840,1.879
0.752,0.311,0.120,1.890
0.507,0.414,0.252,2.553
0.605,0.335,0.907,1.143
0.739,0.158,0.394,1.170
0.512,0.568,0.116,3.708
0.913,0.475,0.775,1.132
0.509,0.509,0.448,2.275
0.893,0.903,0.856,1.455
0.659,0.098,0.067,1.654
0.693,0.084,0.709,0.836
0.006,0.053,0.317,3.433
0.059,0.756,0.850,3.388
0.306,0.105,0.175,2.536
0.076,0.947,0.613,5.487
0.642,0.404,0.539,1.591
0.303,0.606,0.772,2.349
0.717,0.967,0.342,2.846
0.886,0.377,0.349,1.415
0.887,0.505,0.490,1.436
0.187,0.789,0.190,8.387
0.428,0.986,0.576,3.589
0.262,0.951,0.198,8.015
0.052,0.676,0.603,4.285
0.575,0.165,0.003,2.330
0.220,0.807,0.013,13.771
0.606,0.007,0.995,0.633
0.651,0.877,0.574,2.411
0.126,0.940,0.223,10.706
0.308,0.583,0.905,2.024
0.389,0.270,0.627,1.574
0.906,0.299,0.628,1.039
0.670,0.919,0.832,2.005
0.804,0.807,0.362,2.206
0.873,0.096,0.964,0.650
0.286,0.872,0.603,3.813
0.619,0.996,0.131,4.377
0.802,0.627,0.439,1.821
0.721,0.769,0.046,3.418
0.921,0.140,0.882,0.710
0.830,0.580,0.601,1.503
0.721,0.267,0.831,1.004
0.259,0.533,0.776,2.243
0.132,0.412,0.533,2.992
0.736,0.355,0.397,1.540
0.402,0.869,0.189,5.535
0.264,0.939,0.148,8.840
0.950,0.199,0.426,1.014
0.836,0.338,0.135,1.736
0.153,0.646,0.568,3.735
0.389,0.278,0.485,1.852
0.400,0.309,0.157,3.041
0.660,0.928,0.183,3.617
0.019,0.754,0.638,4.682
0.088,0.584,0.032,20.874
0.134,0.042,0.792,1.172
0.670,0.523,0.660,1.608
0.130,0.749,0.918,2.903
0.104,0.240,0.118,6.923
0.041,0.474,0.299,6.389
0.925,0.926,0.162,2.300
0.279,0.815,0.131,7.808
