a,b,c,t
0.562,0.833,0.883,0.373
0.605,0.960,0.322,0.733
0.705,0.248,0.585,1.295
0.708,0.282,0.826,0.847
0.234,0.066,0.670,2.703
0.982,0.166,0.195,4.040
0.008,0.758,0.232,9.557
0.942,0.403,0.305,1.379
0.644,0.500,0.898,0.548
0.734,0.628,0.592,0.568
0.622,0.205,0.823,1.087
0.015,0.360,0.404,5.613
0.724,0.481,0.255,1.797
0.185,0.242,0.317,4.256
0.490,0.578,0.203,2.699
0.716,0.476,0.484,0.966
0.463,0.160,0.340,3.324
0.508,0.986,0.198,1.516
0.496,0.980,0.213,1.471
0.079,0.358,0.114,13.583
0.553,0.117,0.373,3.188
0.690,0.256,0.237,3.177
0.029,0.180,0.541,4.219
0.755,0.984,0.906,0.142
0.287,0.696,0.004,174.877
0.022,0.858,0.146,11.809
0.533,0.403,0.945,0.707
0.443,0.022,0.762,2.639
0.303,0.796,0.044,14.037
0.092,0.009,0.546,5.645
0.915,0.543,0.599,0.507
0.910,0.483,0.466,0.766
0.571,0.371,0.359,1.877
0.907,0.410,0.411,1.045
0.929,0.497,0.202,1.662
0.844,0.269,0.429,1.501
0.836,0.690,0.519,0.460
0.299,0.643,0.693,1.033
0.854,0.737,0.836,0.241
0.163,0.942,0.512,1.589
0.433,0.788,0.012,38.915
0.937,0.529,0.915,0.333
0.913,0.357,0.928,0.525
0.081,0.556,0.927,1.452
0.468,0.090,0.376,3.658
0.534,0.098,0.306,4.187
0.414,0.509,0.126,5.367
0.265,0.661,0.253,2.990
0.218,0.785,0.185,4.144
0.689,0.887,0.841,0.254
0.830,0.176,0.698,1.197
0.957,0.905,0.658,0.095
0.738,0.820,0.994,0.219
0.052,0.510,0.793,1.988
0.193,0.573,0.717,1.334
0.394,0.131,0.642,2.005
0.196,0.245,0.900,1.465
0.274,0.913,0.812,0.741
0.760,0.938,0.522,0.282
0.406,0.637,0.784,0.749
0.975,0.782,0.691,0.170
0.789,0.454,0.785,0.568
0.220,0.690,0.706,1.160
0.441,0.512,0.401,1.612
0.208,0.854,0.543,1.382
0.487,0.898,0.175,2.053
0.758,0.447,0.201,2.338
0.630,0.475,0.951,0.551
0.647,0.471,0.377,1.369
0.253,0.749,0.514,1.405
0.752,0.898,0.659,0.259
0.609,0.714,0.841,0.430
0.036,0.178,0.651,3.369
0.306,0.257,0.962,1.148
0.715,0.700,0.907,0.331
0.882,0.944,0.954,0.083
0.233,0.274,0.488,2.449
0.019,0.106,0.978,2.757
0.058,0.122,0.491,4.379
0.293,0.206,0.441,2.765
0.368,0.494,0.077,9.616
0.883,0.953,0.283,0.265
0.432,0.076,0.235,6.314
0.954,0.378,0.808,0.548
0.233,0.271,0.421,2.850
0.379,0.341,0.632,1.406
0.039,0.611,0.144,11.270
0.448,0.612,0.040,14.049
0.390,0.142,0.402,3.126
0.708,0.852,0.733,0.299
0.220,0.414,0.389,2.675
0.280,0.036,0.899,2.221
0.723,0.202,0.152,5.497
0.694,0.793,0.929,0.279
0.053,0.698,0.575,2.490
0.448,0.219,0.698,1.445
0.995,0.736,0.668,0.203
0.924,0.140,0.453,1.961
0.494,0.146,0.670,1.704
0.359,0.640,0.536,1.192
0.929,0.557,0.286,1.000
0.923,0.584,0.213,1.260
0.821,0.886,0.009,15.358
0.176,0.417,0.315,3.601
0.130,0.113,0.276,6.641
0.966,0.963,0.296,0.106
0.669,0.805,0.894,0.301
0.727,0.178,0.510,1.741
0.009,0.797,0.595,3.604
0.925,0.825,0.388,0.303
0.144,0.814,0.314,2.965
0.771,0.872,0.325,0.531
0.115,0.926,0.394,2.469
0.519,0.356,0.639,1.148
0.224,0.968,0.660,1.006
0.349,0.464,0.754,1.049
0.227,0.099,0.594,2.775
0.113,0.560,0.140,8.562
0.785,0.820,0.558,0.343
0.200,0.458,0.949,1.094
0.667,0.390,0.831,0.704
0.963,0.060,0.136,9.105
0.316,0.755,0.329,1.892
0.652,0.834,0.506,0.523
0.675,0.074,0.866,1.503
