a,b,c,t
0.321,0.236,0.983,1.166
0.093,0.300,0.203,5.706
0.576,0.098,0.283,1.399
0.184,0.090,0.068,4.713
0.797,0.523,0.275,1.927
0.586,0.274,0.796,1.151
0.553,0.870,0.246,3.861
0.929,0.145,0.807,0.743
0.057,0.365,0.409,3.997
0.175,0.477,0.893,2.033
0.281,0.674,0.739,2.689
0.191,0.914,0.724,3.940
0.237,0.878,0.554,4.357
0.912,0.567,0.544,1.417
0.326,0.854,0.918,2.650
0.876,0.456,0.841,1.105
0.436,0.817,0.139,5.352
0.884,0.733,0.910,1.305
0.724,0.070,0.454,0.970
0.050,0.739,0.610,4.578
0.703,0.019,0.704,0.738
0.567,0.105,0.224,1.539
0.514,0.804,0.571,2.726
0.387,0.025,0.916,0.806
0.154,0.552,0.463,3.886
0.820,0.067,0.409,0.924
0.981,0.520,0.789,1.096
0.654,0.263,0.033,2.268
0.152,0.428,0.054,9.870
0.629,0.538,0.474,1.989
0.818,0.819,0.569,1.852
0.489,0.121,0.987,0.849
0.036,0.407,0.489,3.770
0.979,0.587,0.752,1.175
0.899,0.060,0.307,0.929
0.563,0.712,0.709,2.096
0.040,0.929,0.481,7.137
0.692,0.546,0.355,2.079
0.193,0.199,0.910,1.302
0.012,0.479,0.787,2.738
0.440,0.878,0.836,2.551
0.313,0.199,0.672,1.455
0.904,0.744,0.121,2.273
0.670,0.740,0.269,2.793
0.974,0.381,0.152,1.531
0.932,0.114,0.418,0.910
0.145,0.408,0.352,3.979
0.991,0.908,0.655,1.422
0.100,0.457,0.754,2.482
0.092,0.079,0.273,3.190
0.921,0.959,0.670,1.596
0.787,0.608,0.117,2.475
0.639,0.706,0.883,1.695
0.599,0.599,0.446,2.256
0.348,0.115,0.745,1.136
0.178,0.783,0.792,3.242
0.813,0.669,0.894,1.362
0.602,0.893,0.139,4.142
0.483,0.747,0.502,2.874
0.729,0.846,0.695,1.939
0.452,0.970,0.079,6.624
0.086,0.075,0.814,1.284
0.743,0.433,0.235,1.952
0.250,0.756,0.004,11.895
0.498,0.040,0.491,1.093
0.611,0.297,0.948,1.052
0.882,0.339,0.990,0.895
0.044,0.874,0.623,5.261
0.891,0.812,0.160,2.320
0.974,0.134,0.274,1.015
0.225,0.611,0.708,2.749
0.976,0.767,0.286,1.782
0.446,0.844,0.957,2.243
0.274,0.154,0.628,1.474
0.251,0.913,0.612,4.125
0.264,0.057,0.058,3.469
0.940,0.645,0.788,1.245
0.830,0.192,0.865,0.821
0.141,0.350,0.074,8.461
0.351,0.023,0.173,1.997
0.554,0.752,0.657,2.293
0.934,0.872,0.142,2.257
0.592,0.171,0.618,1.123
0.679,0.194,0.553,1.140
0.758,0.716,0.773,1.615
0.106,0.593,0.956,2.384
0.377,0.312,0.020,4.290
0.285,0.909,0.075,9.772
0.417,0.015,0.809,0.840
0.008,0.470,0.295,7.132
0.760,0.338,0.610,1.243
0.999,0.343,0.398,1.182
0.910,0.385,0.121,1.701
0.560,0.311,0.661,1.375
0.589,0.811,0.782,2.106
0.480,0.894,0.226,4.606
0.939,0.014,0.360,0.791
0.708,0.148,0.299,1.296
0.057,0.679,0.807,3.260
0.179,0.160,0.593,1.742
0.361,0.246,0.777,1.356
0.747,0.487,0.808,1.300
0.044,0.404,0.883,2.126
0.299,0.755,0.486,3.811
0.388,0.978,0.405,4.585
0.859,0.402,0.033,2.022
0.040,0.923,0.618,5.616
0.030,0.405,0.863,2.210
0.859,0.713,0.658,1.546
0.940,0.813,0.062,2.351
0.416,0.967,0.168,6.098
0.767,0.046,0.667,0.762
0.315,0.872,0.683,3.372
0.199,0.221,0.593,1.879
0.224,0.747,0.608,3.610
0.148,0.408,0.768,2.159
0.830,0.751,0.667,1.632
0.918,0.619,0.206,1.901
0.307,0.066,0.641,1.198
0.894,0.176,0.907,0.752
0.534,0.553,0.550,2.103
0.413,0.910,0.435,3.993
0.871,0.908,0.704,1.648
0.849,0.192,0.792,0.847
0.421,0.778,0.755,2.530
0.881,0.343,0.282,1.448
